FIPS,ST,State,County,Trump_num,Total_votes,Trump_percent,Pop,two_doses_num,two_doses_percent,covid_deaths_2021,covid_deaths_2022,covid_deaths_diff,death_rate
1001,AL,Alabama,Autauga,19838,27770,71.44,58805,24926,42.39,107,217,110,187.06
1003,AL,Alabama,Baldwin,83544,109679,76.17,231767,114763,49.52,306,683,377,162.66
1005,AL,Alabama,Barbour,5622,10518,53.45,25223,11314,44.86,56,99,43,170.48
1007,AL,Alabama,Bibb,7525,9595,78.43,22293,7827,35.11,63,105,42,188.4
1009,AL,Alabama,Blount,24711,27588,89.57,59134,18481,31.25,135,245,110,186.02
1011,AL,Alabama,Bullock,1146,4613,24.84,10357,5509,53.19,41,54,13,125.52
1013,AL,Alabama,Butler,5458,9488,57.53,19051,7729,40.57,69,129,60,314.94
1015,AL,Alabama,Calhoun,35101,50983,68.85,116441,53744,46.16,312,628,316,271.38
1017,AL,Alabama,Chambers,8753,15284,57.27,34772,10542,30.32,123,162,39,112.16
1019,AL,Alabama,Cherokee,10583,12301,86.03,24971,8115,32.5,45,86,41,164.19
1021,AL,Alabama,Chilton,16085,19310,83.3,45014,16249,36.1,111,208,97,215.49
1023,AL,Alabama,Choctaw,4296,7464,57.56,12665,8412,66.42,24,37,13,102.65
1025,AL,Alabama,Clarke,7324,13135,55.76,23087,12135,52.56,60,101,41,177.59
1027,AL,Alabama,Clay,5601,6930,80.82,14236,5579,39.19,56,82,26,182.64
1029,AL,Alabama,Cleburne,6484,7227,89.72,15056,4327,28.74,41,69,28,185.97
1031,AL,Alabama,Coffee,16899,22275,75.87,53465,24995,46.75,115,232,117,218.83
1033,AL,Alabama,Colbert,19203,27886,68.86,57227,26709,46.67,134,262,128,223.67
1035,AL,Alabama,Conecuh,3442,6441,53.44,11597,5306,45.75,28,70,42,362.16
1037,AL,Alabama,Coosa,3631,5479,66.27,10387,4354,41.92,28,58,30,288.82
1039,AL,Alabama,Covington,14586,17430,83.68,37570,14207,37.81,117,233,116,308.76
1041,AL,Alabama,Crenshaw,4864,6617,73.51,13194,4778,36.21,57,100,43,325.91
1043,AL,Alabama,Cullman,36880,41851,88.12,87866,32196,36.64,193,367,174,198.03
1045,AL,Alabama,Dale,14303,19738,72.46,49326,23772,48.19,111,231,120,243.28
1047,AL,Alabama,Dallas,5524,17864,30.92,38462,17061,44.36,150,244,94,244.4
1049,AL,Alabama,DeKalb,24767,29356,84.37,71608,24477,34.18,185,331,146,203.89
1051,AL,Alabama,Elmore,30164,41030,73.52,87977,38056,43.26,205,347,142,161.41
1053,AL,Alabama,Escambia,10869,15910,68.32,36757,13489,36.7,75,172,97,263.9
1055,AL,Alabama,Etowah,35528,47728,74.44,103436,42312,40.91,352,652,300,290.03
1057,AL,Alabama,Fayette,7300,8766,83.28,16321,5733,35.13,62,96,34,208.32
1059,AL,Alabama,Franklin,10376,12578,82.49,32113,13819,43.03,82,139,57,177.5
1061,AL,Alabama,Geneva,10848,12545,86.47,26659,10655,39.97,75,164,89,333.85
1063,AL,Alabama,Greene,875,4775,18.32,7730,4159,53.8,34,50,16,206.99
1065,AL,Alabama,Hale,3192,7900,40.41,14785,9035,61.11,76,106,30,202.91
1067,AL,Alabama,Henry,6607,9298,71.06,17146,7871,45.91,44,76,32,186.63
1069,AL,Alabama,Houston,32618,46173,70.64,107202,46179,43.08,280,508,228,212.68
1071,AL,Alabama,Jackson,19670,23636,83.22,52579,25717,48.91,110,241,131,249.15
1073,AL,Alabama,Jefferson,138843,325848,42.61,674721,387469,57.43,1516,2377,861,127.61
1075,AL,Alabama,Lamar,6174,7193,85.83,13972,6114,43.76,34,65,31,221.87
1077,AL,Alabama,Lauderdale,31721,44339,71.54,93564,43636,46.64,238,397,159,169.94
1079,AL,Alabama,Lawrence,12322,16031,76.86,33073,15599,47.17,98,160,62,187.46
1081,AL,Alabama,Lee,42221,71449,59.09,174241,66791,38.33,168,342,174,99.86
1083,AL,Alabama,Limestone,34640,49235,70.36,103570,38847,37.51,150,295,145,140
1085,AL,Alabama,Lowndes,1836,6835,26.86,10311,5008,48.57,53,77,24,232.76
1087,AL,Alabama,Macon,1541,8723,17.67,19532,8776,44.93,49,85,36,184.31
1089,AL,Alabama,Madison,102780,194767,52.77,388153,234372,60.38,501,974,473,121.86
1091,AL,Alabama,Marengo,5343,10900,49.02,19323,10318,53.4,64,108,44,227.71
1093,AL,Alabama,Marion,12205,13807,88.4,29341,10930,37.25,100,152,52,177.23
1095,AL,Alabama,Marshall,33191,39655,83.7,97612,44573,45.66,222,395,173,177.23
1097,AL,Alabama,Mobile,101243,183164,55.27,414809,208057,50.16,804,1659,855,206.12
1099,AL,Alabama,Monroe,6147,10668,57.62,19772,9102,46.03,40,80,40,202.31
1101,AL,Alabama,Montgomery,33311,99139,33.6,228954,119667,52.27,585,954,369,161.17
1103,AL,Alabama,Morgan,39664,53722,73.83,123421,52561,42.59,279,519,240,194.46
1105,AL,Alabama,Perry,1339,5230,25.6,8511,4374,51.39,26,47,21,246.74
1107,AL,Alabama,Pickens,5594,9668,57.86,19123,9992,52.25,59,103,44,230.09
1109,AL,Alabama,Pike,8042,13841,58.1,33009,14070,42.62,77,134,57,172.68
1111,AL,Alabama,Randolph,8559,10837,78.98,21967,7539,34.32,41,75,34,154.78
1113,AL,Alabama,Russell,9864,21329,46.25,59183,24358,41.16,38,95,57,96.31
1115,AL,Alabama,St. Clair,36166,44441,81.38,91103,35316,38.76,237,416,179,196.48
1117,AL,Alabama,Shelby,79700,114950,69.33,223024,79625,35.7,246,455,209,93.71
1119,AL,Alabama,Sumter,1598,6291,25.4,12345,6467,52.39,32,52,20,162.01
1121,AL,Alabama,Talladega,22235,35663,62.35,82149,29471,35.88,175,377,202,245.89
1123,AL,Alabama,Tallapoosa,14963,20991,71.28,41311,15691,37.98,150,234,84,203.34
1125,AL,Alabama,Tuscaloosa,51117,90172,56.69,227036,92310,40.66,451,789,338,148.88
1127,AL,Alabama,Walker,26002,31170,83.42,65342,30225,46.26,279,447,168,257.11
1129,AL,Alabama,Washington,6564,8876,73.95,15388,7541,49.01,39,59,20,129.97
1131,AL,Alabama,Wilcox,1833,5903,31.05,10600,5610,52.92,28,46,18,169.81
1133,AL,Alabama,Winston,10195,11284,90.35,23540,5230,22.22,72,132,60,254.89
2013,AK,Alaska,Aleutians East,336,548,61.4,3420,2466,72.11,3,3,0,0
2016,AK,Alaska,Aleutians West,551,1282,43,5232,3564,68.12,1,2,1,19.11
2020,AK,Alaska,Anchorage,68234,145178,47,291247,196647,67.52,176,546,370,127.04
2050,AK,Alaska,Bethel,1670,5108,32.7,18666,12436,66.62,21,41,20,107.15
2060,AK,Alaska,Bristol Bay,304,506,60.1,844,916,108.53,0,0,0,0
2063,AK,Alaska,Chugach,1938,3524,55,7102,4090,57.59,3,11,8,112.64
2066,AK,Alaska,Copper River,1130,1689,66.9,2617,1753,66.99,0,10,10,382.12
2068,AK,Alaska,Denali,636,1161,54.8,1619,1135,70.11,0,1,1,61.77
2070,AK,Alaska,Dillingham,822,1907,43.1,4857,2592,53.37,2,12,10,205.89
2090,AK,Alaska,Fairbanks North Star,24861,45367,54.8,95655,58723,61.39,37,142,105,109.77
2100,AK,Alaska,Haines,986,2636,37.4,2080,1752,84.23,0,1,1,48.08
2105,AK,Alaska,Hoonah-Angoon,578,2301,25.1,2365,1507,63.72,0,0,0,0
2110,AK,Alaska,Juneau City,6217,17317,35.9,32255,24768,76.79,5,21,16,49.6
2122,AK,Alaska,Kenai Peninsula,21761,33948,64.1,58799,28663,48.75,22,108,86,146.26
2130,AK,Alaska,Ketchikan Gateway,3985,6778,58.8,13948,9187,65.87,2,23,21,150.56
2150,AK,Alaska,Kodiak Island,3756,6708,56,13101,8534,65.14,5,12,7,53.43
2158,AK,Alaska,Kusilvak,569,1950,29.2,8368,5657,67.6,4,14,10,119.5
2164,AK,Alaska,Lake & Peninsula,165,458,36.1,1476,943,63.89,0,1,1,67.75
2170,AK,Alaska,Matanuska-Susitna,38492,53536,71.9,107081,44571,41.62,47,248,201,187.71
2180,AK,Alaska,Nome,1287,3668,35.1,10046,7093,70.61,0,5,5,49.77
2185,AK,Alaska,North Slope,1197,2498,47.9,11031,3858,34.97,4,13,9,81.59
2188,AK,Alaska,Northwest Arctic,735,1905,38.6,7793,4716,60.52,2,15,13,166.82
2195,AK,Alaska,Petersburg,1002,1608,62.3,3398,2492,73.34,1,6,5,147.15
2198,AK,Alaska,Prince of Wales-Hyder,1930,4387,44,5753,3340,58.06,1,8,7,121.68
2220,AK,Alaska,Sitka City,1745,4031,43.3,8458,6700,79.21,1,6,5,59.12
2230,AK,Alaska,Skagway,217,954,22.7,1240,865,69.76,0,0,0,0
2240,AK,Alaska,Southeast Fairbanks,2823,3705,76.2,6808,2828,41.54,4,20,16,235.02
2275,AK,Alaska,Wrangell City,827,1277,64.8,2127,1481,69.63,0,1,1,47.01
2282,AK,Alaska,Yakutat City,133,317,42,662,456,68.88,2,5,3,453.17
2290,AK,Alaska,Yukon-Koyukuk,965,2838,34,5343,4051,75.82,4,10,6,112.3
4001,AZ,Arizona,Apache,11442,35268,32.44,66021,75133,113.8,428,616,188,284.76
4003,AZ,Arizona,Cochise,35557,60665,58.61,125447,83118,66.26,284,576,292,232.77
4005,AZ,Arizona,Coconino,27052,73632,36.74,145101,111688,76.97,329,479,150,103.38
4007,AZ,Arizona,Gila,18377,27735,66.26,53272,32284,60.6,227,386,159,298.47
4009,AZ,Arizona,Graham,10749,15029,71.52,38533,25014,64.92,78,178,100,259.52
4011,AZ,Arizona,Greenlee,2433,3696,65.83,9563,4203,43.95,10,34,24,250.97
4012,AZ,Arizona,La Paz,5129,7472,68.64,16557,10314,62.29,80,144,64,386.54
4013,AZ,Arizona,Maricopa,995665,2076086,47.96,4420568,2598782,58.79,9876,17414,7538,170.52
4015,AZ,Arizona,Mohave,78535,104883,74.88,213267,89283,41.86,715,1465,750,351.67
4017,AZ,Arizona,Navajo,27657,51930,53.26,106717,87172,81.69,532,911,379,355.14
4019,AZ,Arizona,Pima,207758,522174,39.79,1043433,732175,70.17,2395,3866,1471,140.98
4021,AZ,Arizona,Pinal,107077,185525,57.72,425264,252189,59.3,872,1670,798,187.65
4023,AZ,Arizona,Santa Cruz,6194,19581,31.63,47669,54651,114.65,176,232,56,117.48
4025,AZ,Arizona,Yavapai,91527,143640,63.72,236209,111263,47.1,503,1218,715,302.7
4027,AZ,Arizona,Yuma,36534,70072,52.14,203881,151792,74.45,833,1183,350,171.67
5001,AR,Arkansas,Arkansas,4304,6292,68.4,17149,9861,57.5,36,78,42,244.91
5003,AR,Arkansas,Ashley,5548,7926,70,19062,9922,52.05,34,66,32,167.87
5005,AR,Arkansas,Baxter,15836,21007,75.38,41627,19838,47.66,103,249,146,350.73
5007,AR,Arkansas,Benton,73965,119912,61.68,284333,150758,53.02,414,861,447,157.21
5009,AR,Arkansas,Boone,13652,17114,79.77,37373,14144,37.85,80,181,101,270.25
5011,AR,Arkansas,Bradley,2335,3654,63.9,10545,6179,58.6,32,50,18,170.7
5013,AR,Arkansas,Calhoun,1636,2182,74.98,4739,1954,41.23,3,11,8,168.81
5015,AR,Arkansas,Carroll,7424,11797,62.93,28260,13686,48.43,45,104,59,208.78
5017,AR,Arkansas,Chicot,1752,4103,42.7,10208,5565,54.52,41,59,18,176.33
5019,AR,Arkansas,Clark,4616,8395,54.99,21446,10999,51.29,41,82,41,191.18
5021,AR,Arkansas,Clay,4086,5183,78.83,14552,6704,46.07,50,94,44,302.36
5023,AR,Arkansas,Cleburne,10328,12680,81.45,24711,11169,45.2,74,129,55,222.57
5025,AR,Arkansas,Cleveland,2867,3600,79.64,7550,4252,56.32,25,36,11,145.7
5027,AR,Arkansas,Columbia,5500,8616,63.83,22801,11536,50.59,56,97,41,179.82
5029,AR,Arkansas,Conway,5694,8685,65.56,20715,11331,54.7,32,65,33,159.3
5031,AR,Arkansas,Craighead,25558,38511,66.37,111231,50627,45.52,178,334,156,140.25
5033,AR,Arkansas,Crawford,18607,24091,77.24,60133,29230,48.61,119,250,131,217.85
5035,AR,Arkansas,Crittenden,7333,16367,44.8,48163,21869,45.41,96,227,131,271.99
5037,AR,Arkansas,Cross,4946,6942,71.25,16833,8444,50.16,50,85,35,207.92
5039,AR,Arkansas,Dallas,1573,2649,59.38,6482,3994,61.62,15,32,17,262.26
5041,AR,Arkansas,Desha,1921,4164,46.13,11395,6868,60.27,24,41,17,149.19
5043,AR,Arkansas,Drew,4349,6908,62.96,17350,8815,50.81,43,70,27,155.62
5045,AR,Arkansas,Faulkner,34421,54428,63.24,123498,65248,52.83,161,319,158,127.94
5047,AR,Arkansas,Franklin,5677,7129,79.63,17097,8653,50.61,39,73,34,198.87
5049,AR,Arkansas,Fulton,3961,5119,77.38,12075,4093,33.9,47,93,46,380.95
5051,AR,Arkansas,Garland,29069,44199,65.77,100180,45675,45.59,259,512,253,252.55
5053,AR,Arkansas,Grant,6794,8200,82.85,17958,8435,46.97,32,62,30,167.06
5055,AR,Arkansas,Greene,12670,16100,78.7,45736,19722,43.12,75,173,98,214.27
5057,AR,Arkansas,Hempstead,4470,6848,65.27,20065,8808,43.9,20,70,50,249.19
5059,AR,Arkansas,Hot Spring,9202,12557,73.28,33040,14493,43.87,72,134,62,187.65
5061,AR,Arkansas,Howard,3367,4834,69.65,12785,7266,56.83,25,52,27,211.18
5063,AR,Arkansas,Independence,11250,14512,77.52,37938,15787,41.61,123,215,92,242.5
5065,AR,Arkansas,Izard,4631,5810,79.71,13577,5227,38.5,41,69,28,206.23
5067,AR,Arkansas,Jackson,3593,5091,70.58,16755,6576,39.25,38,64,26,155.18
5069,AR,Arkansas,Jefferson,9521,25158,37.84,67260,30183,44.88,166,277,111,165.03
5071,AR,Arkansas,Johnson,6938,9498,73.05,25749,13175,51.17,38,88,50,194.18
5073,AR,Arkansas,Lafayette,1757,2679,65.58,6308,2810,44.55,9,31,22,348.76
5075,AR,Arkansas,Lawrence,4569,5857,78.01,16216,7751,47.8,43,81,38,234.34
5077,AR,Arkansas,Lee,1286,2848,45.15,8600,3475,40.41,34,59,25,290.7
5079,AR,Arkansas,Lincoln,2729,3875,70.43,12941,4643,35.88,48,68,20,154.55
5081,AR,Arkansas,Little River,3715,5177,71.76,12026,4995,41.54,42,105,63,523.86
5083,AR,Arkansas,Logan,6441,8225,78.31,21131,10164,48.1,22,79,57,269.75
5085,AR,Arkansas,Lonoke,22884,30662,74.63,74015,35144,47.48,119,246,127,171.59
5087,AR,Arkansas,Madison,5658,7351,76.97,16521,7235,43.79,23,63,40,242.12
5089,AR,Arkansas,Marion,5783,7503,77.08,16826,6065,36.05,30,89,59,350.65
5091,AR,Arkansas,Miller,11920,16529,72.12,42600,14073,33.04,37,182,145,340.38
5093,AR,Arkansas,Mississippi,7296,12342,59.12,40685,16880,41.49,107,212,105,258.08
5095,AR,Arkansas,Monroe,1545,2816,54.87,6799,3827,56.29,17,36,19,279.45
5097,AR,Arkansas,Montgomery,3046,3873,78.65,8484,3292,38.8,33,56,23,271.1
5099,AR,Arkansas,Nevada,2133,3358,63.52,8310,3740,45.01,24,45,21,252.71
5101,AR,Arkansas,Newton,3192,3998,79.84,7225,2658,36.79,26,49,23,318.34
5103,AR,Arkansas,Ouachita,5294,9629,54.98,22650,12796,56.49,61,109,48,211.92
5105,AR,Arkansas,Perry,3479,4627,75.19,10019,5447,54.37,10,38,28,279.47
5107,AR,Arkansas,Phillips,2417,6242,38.72,16568,8990,54.26,38,98,60,362.14
5109,AR,Arkansas,Pike,3519,4246,82.88,10171,4533,44.57,22,44,22,216.3
5111,AR,Arkansas,Poinsett,5918,7521,78.69,22965,10668,46.45,77,127,50,217.72
5113,AR,Arkansas,Polk,7035,8490,82.86,19221,7211,37.52,72,149,77,400.6
5115,AR,Arkansas,Pope,18081,24432,74.01,63381,32096,50.64,107,211,104,164.09
5117,AR,Arkansas,Prairie,2786,3495,79.71,8282,3520,42.5,21,42,21,253.56
5119,AR,Arkansas,Pulaski,63687,169956,37.47,399125,231119,57.91,652,1183,531,133.04
5121,AR,Arkansas,Randolph,5355,6812,78.61,18571,7396,39.83,47,89,42,226.16
5123,AR,Arkansas,St. Francis,3242,7108,45.61,23090,12751,55.22,42,96,54,233.87
5125,AR,Arkansas,Saline,39556,56959,69.45,123416,62467,50.61,166,344,178,144.23
5127,AR,Arkansas,Scott,2962,3551,83.41,9836,5000,50.83,14,44,30,305
5129,AR,Arkansas,Searcy,3365,4019,83.73,7828,3097,39.56,18,48,30,383.24
5131,AR,Arkansas,Sebastian,31198,47140,66.18,127799,64216,50.25,274,525,251,196.4
5133,AR,Arkansas,Sevier,3884,5202,74.66,15839,7879,49.74,24,75,51,321.99
5135,AR,Arkansas,Sharp,5938,7566,78.48,17271,6846,39.64,45,108,63,364.77
5137,AR,Arkansas,Stone,4616,5938,77.74,12359,4594,37.17,30,68,38,307.47
5139,AR,Arkansas,Union,10478,16607,63.09,39054,19132,48.99,114,178,64,163.88
5141,AR,Arkansas,Van Buren,6034,7807,77.29,15796,6970,44.13,23,62,39,246.9
5143,AR,Arkansas,Washington,47504,94266,50.39,245871,135045,54.93,347,636,289,117.54
5145,AR,Arkansas,White,24182,30885,78.3,76822,35166,45.78,118,297,179,233.01
5147,AR,Arkansas,Woodruff,1543,2476,62.32,6269,3588,57.23,13,31,18,287.13
5149,AR,Arkansas,Yell,5226,6741,77.53,20263,10516,51.9,65,107,42,207.27
6001,CA,California,Alameda,136309,773753,17.62,1682353,1373301,81.63,1270,1873,603,35.84
6003,CA,California,Alpine,244,741,32.93,1204,726,60.3,0,0,0,0
6005,CA,California,Amador,13585,22397,60.66,40474,21104,52.14,46,87,41,101.3
6007,CA,California,Butte,48819,102565,47.6,211632,117404,55.48,198,427,229,108.21
6009,CA,California,Calaveras,16518,27272,60.57,45292,24781,54.71,50,122,72,158.97
6011,CA,California,Colusa,4559,7961,57.27,21839,13089,59.93,14,21,7,32.05
6013,CA,California,Contra Costa,152877,581316,26.3,1165927,954232,81.84,800,1310,510,43.74
6015,CA,California,Del Norte,6461,11453,56.41,27743,13417,48.36,6,52,46,165.81
6017,CA,California,El Dorado,61838,116159,53.24,191185,118184,61.82,110,215,105,54.92
6019,CA,California,Fresno,164464,364917,45.07,1008654,615050,60.98,1678,2766,1088,107.87
6021,CA,California,Glenn,7063,11297,62.52,28917,15790,54.6,17,48,31,107.2
6023,CA,California,Humboldt,21770,69424,31.36,136463,90415,66.26,36,147,111,81.34
6025,CA,California,Imperial,20847,56743,36.74,179702,174038,96.85,721,941,220,122.42
6027,CA,California,Inyo,4620,9484,48.71,19016,11397,59.93,36,56,20,105.17
6029,CA,California,Kern,164484,305292,53.88,909235,486049,53.46,1354,2452,1098,120.76
6031,CA,California,Kings,24072,43861,54.88,152486,69532,45.6,246,447,201,131.82
6033,CA,California,Lake,13123,28986,45.27,68163,35649,52.3,43,137,94,137.9
6035,CA,California,Lassen,8970,12045,74.47,32730,8913,27.23,24,64,40,122.21
6037,CA,California,Los Angeles,1145530,4264365,26.86,10014009,7401057,73.91,23919,32193,8274,82.62
6039,CA,California,Madera,29378,53732,54.68,156255,86330,55.25,235,381,146,93.44
6041,CA,California,Marin,24612,155830,15.79,262321,227680,86.79,228,294,66,25.16
6043,CA,California,Mariposa,5950,10280,57.88,17131,7916,46.21,7,35,28,163.45
6045,CA,California,Mendocino,13267,43340,30.61,91601,60005,65.51,46,127,81,88.43
6047,CA,California,Merced,39397,90993,43.3,281202,145894,51.88,444,825,381,135.49
6049,CA,California,Modoc,3109,4367,71.19,8700,3707,42.61,3,8,5,57.47
6051,CA,California,Mono,2513,6738,37.3,13195,9037,68.49,3,6,3,22.74
6053,CA,California,Monterey,46299,163923,28.24,439035,318720,72.6,379,740,361,82.23
6055,CA,California,Napa,20676,72150,28.66,138019,109551,79.37,81,143,62,44.92
6057,CA,California,Nevada,26779,65202,41.07,102241,63516,62.12,70,127,57,55.75
6059,CA,California,Orange,676498,1522113,44.44,3186989,2321001,72.83,4965,7045,2080,65.27
6061,CA,California,Placer,122488,235084,52.1,404739,268630,66.37,287,629,342,84.5
6063,CA,California,Plumas,6445,11260,57.24,19790,10398,52.54,4,13,9,45.48
6065,CA,California,Riverside,449144,997156,45.04,2418185,1462037,60.46,4412,6480,2068,85.52
6067,CA,California,Sacramento,259405,718440,36.11,1585055,1056770,66.67,1602,3211,1609,101.51
6069,CA,California,San Benito,10590,28830,36.73,64209,45780,71.3,63,99,36,56.07
6071,CA,California,San Bernardino,366257,841130,43.54,2181654,1249277,57.26,4652,7685,3033,139.02
6073,CA,California,San Diego,600094,1602143,37.46,3298634,2491675,75.54,3706,5315,1609,48.78
6075,CA,California,San Francisco,56417,443553,12.72,873965,740785,84.76,541,885,344,39.36
6077,CA,California,San Joaquin,121098,289781,41.79,779233,473876,60.81,1325,2241,916,117.55
6079,CA,California,San Luis Obispo,67436,159714,42.22,282424,182973,64.79,254,484,230,81.44
6081,CA,California,San Mateo,75584,374251,20.2,764442,651299,85.2,411,762,351,45.92
6083,CA,California,Santa Barbara,65736,201432,32.63,448229,311013,69.39,453,693,240,53.54
6085,CA,California,Santa Clara,214612,850741,25.23,1936259,1657720,85.61,1988,2321,333,17.2
6087,CA,California,Santa Cruz,26937,145649,18.49,270861,207179,76.49,207,264,57,21.04
6089,CA,California,Shasta,60789,92930,65.41,182155,84195,46.22,197,655,458,251.43
6091,CA,California,Sierra,1142,1947,58.65,3236,1581,48.86,0,4,4,123.61
6093,CA,California,Siskiyou,13290,23472,56.62,44076,21517,48.82,11,81,70,158.82
6095,CA,California,Solano,69306,206831,33.51,453491,303487,66.92,249,453,204,44.98
6097,CA,California,Sonoma,61825,268317,23.04,488863,390967,79.97,318,494,176,36
6099,CA,California,Stanislaus,104145,215987,48.22,552878,316568,57.26,774,1662,888,160.61
6101,CA,California,Sutter,24375,42644,57.16,99633,58920,59.14,110,227,117,117.43
6103,CA,California,Tehama,19141,28731,66.62,65829,28134,42.74,53,205,152,230.9
6105,CA,California,Trinity,3188,6330,50.36,16112,6027,37.41,3,20,17,105.51
6107,CA,California,Tulare,77579,146885,52.82,473117,255797,54.07,835,1494,659,139.29
6109,CA,California,Tuolumne,17689,30408,58.17,55620,28855,51.88,61,189,128,230.13
6111,CA,California,Ventura,162207,422825,38.36,843843,613944,72.76,1005,1510,505,59.85
6113,CA,California,Yolo,27292,97294,28.05,216403,156517,72.33,208,321,113,52.22
6115,CA,California,Yuba,17676,29796,59.32,81575,38978,47.78,44,122,78,95.62
8001,CO,Colorado,Adams,95657,236740,40.41,519572,347383,66.86,669,1321,652,125.49
8003,CO,Colorado,Alamosa,3813,7808,48.83,16376,9199,56.17,30,62,32,195.41
8005,CO,Colorado,Arapahoe,127323,350183,36.36,655070,455476,69.53,714,1210,496,75.72
8007,CO,Colorado,Archuleta,5189,9144,56.75,13359,8090,60.56,1,16,15,112.28
8009,CO,Colorado,Baca,1867,2225,83.91,3506,1398,39.87,4,14,10,285.23
8011,CO,Colorado,Bent,1503,2274,66.09,5650,1715,30.35,21,47,26,460.18
