round,Name,hole,strokes,par
1,Berger,1,5,4
1,Berger,2,3,4
1,Berger,3,4,5
1,Berger,4,4,3
1,Berger,5,4,4
1,Berger,6,4,4
1,Berger,7,3,4
1,Berger,8,3,3
1,Berger,9,4,4
1,Berger,10,4,4
1,Berger,11,2,3
1,Berger,12,4,4
1,Berger,13,4,4
1,Berger,14,4,3
1,Berger,15,4,4
1,Berger,16,4,5
1,Berger,17,3,4
1,Berger,18,5,4
1,Bhatia,1,3,4
1,Bhatia,2,4,4
1,Bhatia,3,4,5
1,Bhatia,4,3,3
1,Bhatia,5,4,4
1,Bhatia,6,3,4
1,Bhatia,7,4,4
1,Bhatia,8,2,3
1,Bhatia,9,4,4
1,Bhatia,10,4,4
1,Bhatia,11,2,3
1,Bhatia,12,5,4
1,Bhatia,13,4,4
1,Bhatia,14,3,3
1,Bhatia,15,4,4
1,Bhatia,16,3,5
1,Bhatia,17,3,4
1,Bhatia,18,3,4
1,Bradley,1,4,4
1,Bradley,2,3,4
1,Bradley,3,5,5
1,Bradley,4,3,3
1,Bradley,5,4,4
1,Bradley,6,4,4
1,Bradley,7,5,4
1,Bradley,8,4,3
1,Bradley,9,4,4
1,Bradley,10,4,4
1,Bradley,11,2,3
1,Bradley,12,4,4
1,Bradley,13,4,4
1,Bradley,14,6,3
1,Bradley,15,4,4
1,Bradley,16,4,5
1,Bradley,17,4,4
1,Bradley,18,4,4
1,Bridgeman,1,4,4
1,Bridgeman,2,4,4
1,Bridgeman,3,4,5
1,Bridgeman,4,3,3
1,Bridgeman,5,4,4
1,Bridgeman,6,4,4
1,Bridgeman,7,4,4
1,Bridgeman,8,3,3
1,Bridgeman,9,5,4
1,Bridgeman,10,4,4
1,Bridgeman,11,3,3
1,Bridgeman,12,3,4
1,Bridgeman,13,4,4
1,Bridgeman,14,3,3
1,Bridgeman,15,3,4
1,Bridgeman,16,5,5
1,Bridgeman,17,5,4
1,Bridgeman,18,4,4
1,Burns,1,5,4
1,Burns,2,4,4
1,Burns,3,6,5
1,Burns,4,3,3
