Closing_date,Big_cut,Small_cut,No_cut
11/5/2024,0.309223,0.191744,0.060165
11/6/2024,0.315993,0.247623,0.098235
11/7/2024,0.3089,0.216897,0.078099
11/8/2024,0.309412,0.251364,0.105942
11/11/2024,0.301983,0.28329,0.136342
11/12/2024,0.285515,0.307076,0.170467
11/13/2024,0.328279,0.269675,0.100849
11/14/2024,0.31449,0.272032,0.116113
11/15/2024,0.304694,0.273089,0.126635
11/18/2024,0.305381,0.269122,0.123204
11/19/2024,0.304256,0.265517,0.121399
11/20/2024,0.299655,0.284233,0.140182
11/21/2024,0.289055,0.304704,0.165222
11/22/2024,0.269219,0.320299,0.196682
11/25/2024,0.291558,0.291538,0.153556
11/26/2024,0.282918,0.30891,0.174303
11/27/2024,0.303175,0.290519,0.140526
11/29/2024,0.306587,0.272876,0.124374
12/2/2024,0.301975,0.28385,0.137694
12/3/2024,0.317229,0.253397,0.100274
12/4/2024,0.319896,0.216679,0.070318
12/5/2024,0.314644,0.238943,0.091441
12/6/2024,0.320338,0.200449,0.05739
12/9/2024,0.323541,0.213882,0.064765
12/10/2024,0.336534,0.239561,0.072423
12/11/2024,0.346452,0.253963,0.071136
12/12/2024,0.343609,0.2788,0.087537
12/13/2024,0.335298,0.318113,0.116228
12/16/2024,0.333301,0.325222,0.120568
12/17/2024,0.327877,0.332539,0.129656
12/18/2024,0.236849,0.415367,0.272322
12/19/2024,0.271323,0.402838,0.220702
12/20/2024,0.281207,0.402214,0.204938
12/23/2024,0.245365,0.414795,0.259333
12/24/2024,0.276632,0.400146,0.213898
12/26/2024,0.276795,0.398516,0.214592
12/27/2024,0.288737,0.390401,0.197215
12/30/2024,0.318755,0.356675,0.151462
12/31/2024,0.311906,0.370478,0.163134
1/2/2025,0.307887,0.366623,0.167399
1/3/2025,0.291607,0.386169,0.193438
1/6/2025,0.289107,0.383281,0.196951
1/7/2025,0.268777,0.395118,0.227569
1/8/2025,0.280466,0.391339,0.210794
1/9/2025,0.304418,0.372275,0.174948
1/10/2025,0.185878,0.415273,0.353955
1/13/2025,0.177268,0.413284,0.368203
1/14/2025,0.214506,0.415509,0.308742
1/15/2025,0.283099,0.390805,0.207836
1/16/2025,0.294031,0.381416,0.191784
1/17/2025,0.270859,0.399364,0.225103
1/21/2025,0.265224,0.398491,0.233739
1/22/2025,0.273141,0.397641,0.222071
1/23/2025,0.280441,0.391729,0.211513
1/24/2025,0.294903,0.382881,0.189976
1/27/2025,0.335234,0.338893,0.127301
1/28/2025,0.32865,0.34503,0.137349
1/29/2025,0.313731,0.372773,0.162929
1/30/2025,0.325287,0.358652,0.147325
1/31/2025,0.302387,0.383777,0.181075
2/3/2025,0.269001,0.404486,0.228989
2/4/2025,0.296254,0.384352,0.189755
2/5/2025,0.308146,0.371977,0.172343
2/6/2025,0.300464,0.38134,0.184035
2/7/2025,0.237029,0.418524,0.274963
2/10/2025,0.246767,0.414385,0.261607
2/11/2025,0.21982,0.424556,0.299189
2/12/2025,0.135224,0.409433,0.435553
2/13/2025,0.18998,0.426067,0.344022
2/14/2025,0.260806,0.420994,0.242336
2/18/2025,0.223185,0.43066,0.293586
2/19/2025,0.236223,0.433333,0.274185
2/20/2025,0.254256,0.420515,0.251052
2/21/2025,0.317911,0.379577,0.165516
2/24/2025,0.330798,0.375061,0.151235
2/25/2025,0.37193,0.334224,0.10201
2/26/2025,0.376202,0.323925,0.095213
2/27/2025,0.372488,0.328992,0.099371
2/28/2025,0.394911,0.237424,0.046704
3/3/2025,0.388783,0.232667,0.047297
3/4/2025,0.37498,0.203631,0.039014
3/5/2025,0.385653,0.22185,0.044176
3/6/2025,0.359244,0.173141,0.029288
3/7/2025,0.390202,0.213153,0.039294
3/10/2025,0.345559,0.129724,0.015814
3/11/2025,0.379175,0.179374,0.028503
3/12/2025,0.40433,0.237194,0.046331
3/13/2025,0.400524,0.211344,0.036835
3/14/2025,0.403464,0.270803,0.059289
3/17/2025,0.38535,0.323813,0.091109
3/18/2025,0.390479,0.339966,0.095668
3/19/2025,0.404048,0.314227,0.077756
3/20/2025,0.424132,0.270464,0.055258
3/21/2025,0.431829,0.239607,0.041371
3/24/2025,0.40083,0.320799,0.08461
3/25/2025,0.404102,0.304454,0.076419
3/26/2025,0.407373,0.310259,0.076775
3/27/2025,0.401887,0.31516,0.082091
3/28/2025,0.412643,0.214349,0.036359
3/31/2025,0.417091,0.209344,0.03539
4/1/2025,0.40059,0.177157,0.026822
4/2/2025,0.422771,0.231271,0.042703
4/3/2025,0.360553,0.110724,0.01136
4/4/2025,0.237459,0.029023,0.001057
4/7/2025,0.256111,0.03348,0.000376
4/8/2025,0.206853,0.023779,0
4/9/2025,0.402764,0.201433,0.034801
4/10/2025,0.34295,0.100624,0.009975
4/11/2025,0.403912,0.179964,0.027022
4/14/2025,0.378582,0.133026,0.01593
4/15/2025,0.392334,0.150472,0.019538
4/16/2025,0.391723,0.127807,0.013552
4/17/2025,0.417159,0.144288,0.015856
4/21/2025,0.354801,0.074208,0.003783
4/22/2025,0.409687,0.130258,0.013063
4/23/2025,0.441372,0.208142,0.031469
4/24/2025,0.428873,0.161044,0.018968
4/25/2025,0.420998,0.144631,0.015629
4/28/2025,0.413277,0.115203,0.0099
4/29/2025,0.399972,0.093984,0.006628
4/30/2025,0.366284,0.044917,0.001541
5/1/2025,0.444445,0.133325,0.011686
5/2/2025,0.489027,0.275622,0.041133
5/5/2025,0.476829,0.326609,0.05726
5/6/2025,0.508551,0.275472,0.035626
5/7/2025,0.494858,0.342398,0.049311
5/8/2025,0.390987,0.437523,0.107752
5/9/2025,0.393363,0.430973,0.111474
5/12/2025,0.248147,0.529096,0.204625
5/13/2025,0.201198,0.516539,0.26789
5/14/2025,0.177574,0.490929,0.319045
5/15/2025,0.210759,0.511955,0.26216
5/16/2025,0.173291,0.498204,0.316394
5/19/2025,0.174289,0.515142,0.298414
5/20/2025,0.160835,0.521416,0.310287
5/21/2025,0.146173,0.516021,0.331037
5/22/2025,0.136388,0.497078,0.360261
5/23/2025,0.117516,0.476673,0.400466
5/27/2025,0.118433,0.490105,0.389132
5/28/2025,0.105621,0.480832,0.41139
5/29/2025,0.126242,0.534131,0.33703
5/30/2025,0.157973,0.557222,0.279445
6/2/2025,0.141838,0.541856,0.313496
6/3/2025,0.147164,0.553634,0.296282
6/4/2025,0.197697,0.572021,0.22376
6/5/2025,0.193793,0.543008,0.256966
6/6/2025,0.087982,0.51804,0.392021
6/9/2025,0.090945,0.530528,0.376501
6/10/2025,0.080863,0.534509,0.382806
6/11/2025,0.115412,0.57825,0.303805
6/12/2025,0.165565,0.594321,0.236817
6/13/2025,0.144411,0.567952,0.287003
6/16/2025,0.08591,0.55992,0.352229
6/17/2025,0.091164,0.531453,0.375351
6/18/2025,0.074765,0.563423,0.360127
6/20/2025,0.093385,0.603414,0.303201
6/23/2025,0.161485,0.665076,0.173439
6/24/2025,0.152263,0.700094,0.147643
6/25/2025,0.212938,0.680745,0.106317
6/26/2025,0.188993,0.743163,0.067844
6/27/2025,0.166374,0.747735,0.085891
6/30/2025,0.192841,0.754087,0.053071
7/1/2025,0.185145,0.732239,0.082616
7/2/2025,0.217998,0.718913,0.06309
7/3/2025,0.04092,0.64016,0.31892
7/7/2025,0.03844,0.60512,0.35644
7/8/2025,0.038611,0.607537,0.353852
7/9/2025,0.04216,0.65768,0.30016
7/10/2025,0.049187,0.65396,0.296853
7/11/2025,0.030109,0.574207,0.395684
7/14/2025,0.037286,0.588808,0.373906
7/15/2025,0.011303,0.544958,0.443739
7/16/2025,0.022491,0.540489,0.43702
7/17/2025,0.021009,0.507592,0.4714
7/18/2025,0.035148,0.558601,0.406251
7/21/2025,0.023375,0.560101,0.416524
7/22/2025,0.024258,0.579713,0.396029
7/23/2025,0.025142,0.599325,0.375533
7/24/2025,0.024429,0.583509,0.392062
7/25/2025,0.026026,0.618937,0.355037
7/28/2025,0.019829,0.630997,0.349174
7/29/2025,0.013191,0.63256,0.354249
7/30/2025,0.009614,0.466612,0.523774
7/31/2025,0,0.376552,0.623448
8/1/2025,0,0.803103,0.196897
8/4/2025,0,0.904483,0.095517
8/5/2025,0,0.928621,0.071379
8/6/2025,0,0.945862,0.054138
8/7/2025,0,0.918621,0.081379
8/8/2025,0,0.888621,0.111379
8/11/2025,0,0.858621,0.141379
8/12/2025,0,0.938621,0.061379
8/13/2025,0.057241,0.942759,0
8/14/2025,0,0.921379,0.078621
